dump,frame,n_ice,n_max,n_clusters,n_ic,n_ih,n_mixed,cubicity,chill_cubic,chill_hexagonal,chill_interfacial,chill_clathrate,chill_interclathrate,chill_water,chill_max
niu-critical-growing,371,478.0,442.0,4.0,188.0,99.0,191.0,0.7928870292887029,124.0,120.0,220.0,24.0,196.0,2196.0,221.0
niu-critical-growing,381,569.0,521.0,5.0,227.0,127.0,215.0,0.7768014059753954,133.0,118.0,255.0,25.0,206.0,2143.0,225.0
niu-critical-growing,391,581.0,519.0,6.0,229.0,146.0,206.0,0.7487091222030982,122.0,124.0,260.0,29.0,200.0,2145.0,211.0
niu-critical-growing,401,543.0,531.0,2.0,219.0,101.0,223.0,0.8139963167587477,139.0,117.0,247.0,25.0,213.0,2139.0,240.0
niu-critical-growing,411,527.0,527.0,1.0,223.0,103.0,201.0,0.8045540796963947,132.0,116.0,237.0,11.0,193.0,2191.0,214.0
niu-critical-growing,421,500.0,476.0,3.0,210.0,95.0,195.0,0.81,130.0,118.0,208.0,21.0,206.0,2197.0,229.0
niu-critical-growing,431,558.0,496.0,6.0,238.0,119.0,201.0,0.7867383512544803,138.0,111.0,247.0,20.0,190.0,2174.0,233.0
niu-critical-growing,441,585.0,527.0,5.0,297.0,73.0,215.0,0.8752136752136752,146.0,122.0,229.0,15.0,178.0,2190.0,243.0
niu-critical-growing,451,546.0,492.0,5.0,250.0,80.0,216.0,0.8534798534798534,142.0,127.0,215.0,24.0,192.0,2180.0,248.0
niu-critical-growing,461,484.0,484.0,1.0,206.0,64.0,214.0,0.8677685950413223,138.0,119.0,242.0,21.0,181.0,2179.0,235.0
niu-critical-growing,471,541.0,517.0,3.0,229.0,101.0,211.0,0.8133086876155268,135.0,126.0,225.0,17.0,214.0,2163.0,236.0
niu-critical-growing,481,553.0,529.0,3.0,213.0,129.0,211.0,0.7667269439421338,151.0,136.0,239.0,26.0,202.0,2126.0,263.0
niu-critical-growing,491,494.0,482.0,2.0,191.0,78.0,225.0,0.8421052631578947,139.0,133.0,242.0,23.0,199.0,2144.0,241.0
niu-critical-growing,501,555.0,497.0,4.0,192.0,130.0,233.0,0.7657657657657657,143.0,135.0,249.0,31.0,188.0,2134.0,253.0
niu-critical-growing,511,599.0,539.0,5.0,241.0,116.0,242.0,0.8063439065108514,149.0,136.0,248.0,28.0,168.0,2151.0,264.0
niu-critical-growing,521,610.0,540.0,6.0,257.0,116.0,237.0,0.8098360655737705,154.0,131.0,276.0,22.0,161.0,2136.0,265.0
niu-critical-growing,531,567.0,531.0,4.0,213.0,122.0,232.0,0.7848324514991182,156.0,141.0,255.0,23.0,169.0,2136.0,272.0
niu-critical-growing,541,581.0,551.0,3.0,239.0,106.0,236.0,0.8175559380378657,159.0,136.0,239.0,20.0,167.0,2159.0,272.0
niu-critical-growing,551,593.0,569.0,3.0,241.0,106.0,246.0,0.821247892074199,156.0,142.0,252.0,20.0,182.0,2128.0,263.0
niu-critical-growing,561,586.0,548.0,4.0,227.0,133.0,226.0,0.773037542662116,147.0,131.0,261.0,23.0,174.0,2144.0,249.0
niu-critical-growing,571,622.0,569.0,3.0,246.0,147.0,229.0,0.7636655948553055,141.0,123.0,269.0,29.0,174.0,2144.0,236.0
niu-critical-growing,581,611.0,534.0,6.0,247.0,139.0,225.0,0.7725040916530278,153.0,145.0,261.0,16.0,195.0,2110.0,259.0
niu-critical-growing,591,593.0,533.0,6.0,223.0,146.0,224.0,0.7537942664418212,153.0,135.0,274.0,28.0,180.0,2110.0,257.0
niu-critical-growing,601,623.0,549.0,7.0,273.0,132.0,218.0,0.7881219903691814,158.0,138.0,266.0,25.0,169.0,2124.0,262.0
niu-critical-growing,611,563.0,515.0,5.0,239.0,106.0,218.0,0.8117229129662522,146.0,126.0,294.0,24.0,184.0,2106.0,244.0
niu-critical-growing,621,625.0,575.0,5.0,244.0,141.0,240.0,0.7744,151.0,146.0,264.0,32.0,186.0,2101.0,270.0
niu-critical-growing,631,669.0,543.0,6.0,269.0,153.0,247.0,0.7713004484304933,151.0,135.0,267.0,23.0,170.0,2134.0,265.0
niu-critical-growing,641,601.0,555.0,4.0,222.0,132.0,247.0,0.7803660565723793,155.0,138.0,242.0,18.0,171.0,2156.0,266.0
niu-critical-growing,651,610.0,531.0,4.0,221.0,144.0,245.0,0.7639344262295082,142.0,140.0,254.0,17.0,182.0,2145.0,252.0
niu-critical-growing,661,598.0,574.0,3.0,242.0,103.0,253.0,0.8277591973244147,155.0,145.0,276.0,25.0,168.0,2111.0,267.0
niu-critical-growing,671,635.0,567.0,6.0,241.0,154.0,240.0,0.75748031496063,141.0,130.0,277.0,23.0,187.0,2122.0,240.0
niu-critical-growing,681,596.0,560.0,4.0,228.0,132.0,236.0,0.7785234899328859,152.0,142.0,271.0,16.0,186.0,2113.0,252.0
niu-critical-growing,691,682.0,614.0,6.0,258.0,153.0,271.0,0.7756598240469208,157.0,136.0,308.0,16.0,149.0,2114.0,262.0
niu-critical-growing,701,608.0,584.0,3.0,247.0,106.0,255.0,0.8256578947368421,162.0,147.0,274.0,22.0,175.0,2100.0,277.0
niu-critical-growing,711,670.0,630.0,4.0,255.0,147.0,268.0,0.7805970149253731,158.0,147.0,281.0,18.0,188.0,2088.0,274.0
niu-critical-growing,721,700.0,662.0,4.0,283.0,131.0,286.0,0.8128571428571428,175.0,148.0,275.0,21.0,187.0,2074.0,290.0
niu-critical-growing,731,671.0,645.0,3.0,269.0,111.0,291.0,0.834575260804769,186.0,156.0,271.0,23.0,194.0,2050.0,305.0
niu-critical-growing,741,732.0,686.0,4.0,307.0,124.0,301.0,0.8306010928961749,190.0,167.0,281.0,24.0,190.0,2028.0,310.0
niu-critical-growing,751,736.0,694.0,4.0,322.0,119.0,295.0,0.8383152173913043,194.0,176.0,307.0,16.0,190.0,1997.0,320.0
niu-critical-growing,761,744.0,710.0,3.0,327.0,125.0,292.0,0.831989247311828,187.0,149.0,278.0,18.0,173.0,2075.0,309.0
niu-critical-growing,771,701.0,701.0,1.0,308.0,120.0,273.0,0.8288159771754636,182.0,154.0,304.0,20.0,171.0,2049.0,303.0
niu-critical-growing,781,719.0,707.0,2.0,323.0,119.0,277.0,0.8344923504867872,176.0,136.0,277.0,20.0,176.0,2095.0,288.0
niu-critical-growing,791,667.0,643.0,3.0,269.0,123.0,275.0,0.815592203898051,169.0,144.0,313.0,19.0,167.0,2068.0,281.0
niu-critical-growing,801,698.0,660.0,4.0,291.0,133.0,274.0,0.8094555873925502,168.0,161.0,288.0,17.0,166.0,2080.0,295.0
niu-critical-melting,1,436.0,384.0,5.0,196.0,81.0,159.0,0.8142201834862385,85.0,83.0,161.0,20.0,217.0,2314.0,151.0
niu-critical-melting,11,412.0,362.0,4.0,172.0,87.0,153.0,0.7888349514563107,86.0,90.0,182.0,36.0,224.0,2262.0,153.0
niu-critical-melting,21,374.0,334.0,4.0,164.0,66.0,144.0,0.8235294117647058,86.0,74.0,176.0,28.0,205.0,2311.0,148.0
niu-critical-melting,31,391.0,331.0,5.0,144.0,114.0,133.0,0.7084398976982097,74.0,93.0,184.0,29.0,203.0,2297.0,146.0
niu-critical-melting,41,354.0,292.0,6.0,114.0,108.0,132.0,0.6949152542372882,75.0,77.0,195.0,33.0,237.0,2263.0,134.0
niu-critical-melting,51,341.0,329.0,2.0,116.0,85.0,140.0,0.750733137829912,74.0,99.0,187.0,23.0,236.0,2261.0,146.0
niu-critical-melting,61,352.0,308.0,4.0,155.0,65.0,132.0,0.8153409090909091,79.0,86.0,195.0,23.0,205.0,2292.0,143.0
niu-critical-melting,71,415.0,325.0,8.0,164.0,130.0,121.0,0.6867469879518072,72.0,86.0,171.0,27.0,192.0,2332.0,133.0
niu-critical-melting,81,441.0,357.0,5.0,144.0,155.0,142.0,0.6485260770975056,79.0,91.0,190.0,20.0,220.0,2280.0,145.0
niu-critical-melting,91,395.0,371.0,3.0,123.0,138.0,134.0,0.6506329113924051,79.0,93.0,215.0,25.0,201.0,2267.0,137.0
niu-critical-melting,101,452.0,366.0,6.0,217.0,100.0,135.0,0.7787610619469026,75.0,87.0,201.0,27.0,188.0,2302.0,135.0
niu-critical-melting,111,585.0,459.0,10.0,222.0,199.0,164.0,0.6598290598290598,86.0,94.0,221.0,24.0,192.0,2263.0,157.0
niu-critical-melting,121,451.0,401.0,5.0,180.0,127.0,144.0,0.7184035476718403,86.0,104.0,204.0,22.0,172.0,2292.0,160.0
niu-critical-melting,131,460.0,362.0,8.0,159.0,160.0,141.0,0.6521739130434783,71.0,99.0,222.0,23.0,195.0,2270.0,142.0
niu-critical-melting,141,414.0,362.0,4.0,170.0,111.0,133.0,0.7318840579710145,80.0,96.0,212.0,20.0,196.0,2276.0,138.0
niu-critical-melting,151,371.0,333.0,4.0,137.0,105.0,129.0,0.7169811320754716,90.0,94.0,212.0,31.0,212.0,2241.0,145.0
niu-critical-melting,161,383.0,324.0,5.0,128.0,131.0,124.0,0.6579634464751958,76.0,88.0,190.0,33.0,235.0,2258.0,134.0
niu-critical-melting,171,337.0,299.0,4.0,149.0,86.0,102.0,0.744807121661721,69.0,86.0,236.0,20.0,195.0,2274.0,107.0
niu-critical-melting,181,356.0,294.0,6.0,136.0,117.0,103.0,0.6713483146067416,73.0,72.0,211.0,20.0,193.0,2311.0,112.0
niu-critical-melting,191,361.0,301.0,6.0,123.0,128.0,110.0,0.6454293628808865,57.0,75.0,239.0,17.0,217.0,2275.0,101.0
niu-critical-melting,201,405.0,315.0,7.0,167.0,125.0,113.0,0.691358024691358,61.0,81.0,204.0,16.0,195.0,2323.0,111.0
niu-critical-melting,211,395.0,321.0,4.0,133.0,146.0,116.0,0.6303797468354431,70.0,85.0,219.0,22.0,220.0,2264.0,121.0
niu-critical-melting,221,414.0,366.0,5.0,124.0,168.0,122.0,0.5942028985507246,65.0,89.0,241.0,15.0,201.0,2269.0,112.0
niu-critical-melting,231,327.0,303.0,3.0,115.0,92.0,120.0,0.7186544342507645,70.0,80.0,204.0,19.0,202.0,2305.0,120.0
niu-critical-melting,241,360.0,312.0,5.0,130.0,112.0,118.0,0.6888888888888889,72.0,85.0,237.0,11.0,181.0,2294.0,113.0
niu-critical-melting,251,397.0,321.0,7.0,159.0,118.0,120.0,0.7027707808564232,79.0,91.0,242.0,17.0,165.0,2286.0,124.0
niu-critical-melting,261,400.0,294.0,7.0,135.0,146.0,119.0,0.635,68.0,79.0,227.0,18.0,183.0,2305.0,116.0
niu-critical-melting,271,343.0,281.0,6.0,123.0,105.0,115.0,0.6938775510204082,68.0,92.0,199.0,15.0,177.0,2329.0,126.0
niu-critical-melting,281,325.0,301.0,3.0,135.0,72.0,118.0,0.7784615384615384,71.0,82.0,196.0,19.0,183.0,2329.0,125.0
niu-critical-melting,291,355.0,355.0,1.0,133.0,95.0,127.0,0.7323943661971831,65.0,81.0,224.0,20.0,169.0,2321.0,111.0
niu-critical-melting,301,315.0,291.0,3.0,123.0,79.0,113.0,0.7492063492063492,59.0,74.0,221.0,27.0,216.0,2283.0,103.0
niu-critical-melting,311,362.0,314.0,4.0,116.0,122.0,124.0,0.6629834254143646,63.0,90.0,208.0,21.0,189.0,2309.0,118.0
niu-critical-melting,321,400.0,352.0,5.0,135.0,140.0,125.0,0.65,74.0,83.0,246.0,15.0,196.0,2266.0,116.0
niu-critical-melting,331,393.0,314.0,6.0,123.0,143.0,127.0,0.6361323155216285,55.0,78.0,233.0,26.0,193.0,2295.0,100.0
niu-critical-melting,341,434.0,362.0,7.0,136.0,176.0,122.0,0.5944700460829493,57.0,73.0,230.0,21.0,185.0,2314.0,102.0
