# data/public-ice/critical/Critical-nucleus_analysis-trajectory/Critical-nucleus-analysis-melting nframes 1001 last 1001 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
653 2880 14 56 212 28 190 2380 70 29 36 203 115 6 99 82 34 215 141 5
654 2880 23 59 186 19 212 2381 82 31 44 266 141 7 129 96 34 259 141 7
655 2880 18 41 187 25 195 2414 59 24 27 304 146 11 133 130 42 305 159 9
656 2880 22 54 211 21 191 2381 76 39 32 282 149 8 103 126 36 265 157 7
657 2880 18 50 206 20 223 2363 68 32 31 261 139 9 133 150 36 319 171 11
658 2880 17 38 174 22 214 2415 55 14 28 263 132 9 138 123 39 300 157 9
659 2880 14 52 159 31 197 2427 66 21 33 290 154 11 170 100 32 302 154 10
660 2880 14 44 193 29 200 2400 58 26 28 316 160 12 196 104 40 340 162 12
661 2880 17 36 200 21 208 2398 53 14 30 268 116 9 203 91 33 327 149 11
662 2880 18 54 193 22 197 2396 72 18 32 291 127 10 178 80 33 291 127 10
663 2880 15 37 207 22 211 2388 52 7 35 284 116 10 162 76 37 275 115 11
664 2880 20 45 206 29 191 2389 65 12 39 285 111 11 177 80 36 293 111 10
665 2880 16 50 217 32 214 2351 66 29 34 288 100 13 210 86 36 332 115 14
666 2880 15 51 190 30 209 2385 66 15 36 268 106 11 162 72 40 274 112 11
667 2880 14 56 202 18 170 2420 70 26 38 315 131 10 205 77 43 325 119 12
668 2880 18 49 205 23 219 2366 67 19 34 319 115 13 169 76 40 285 115 11
669 2880 18 60 212 22 187 2381 78 19 43 321 127 13 193 76 40 309 127 12
670 2880 15 40 199 20 192 2414 55 12 30 301 103 14 199 82 34 315 127 13
671 2880 14 49 199 23 198 2397 63 16 35 313 123 12 186 104 37 327 127 12
672 2880 17 51 218 26 219 2349 68 18 37 318 122 14 201 70 46 317 133 13
673 2880 20 49 199 26 203 2383 69 23 29 365 145 15 183 76 40 299 133 13
674 2880 15 54 184 23 210 2394 69 15 41 319 123 14 213 68 34 315 127 15
675 2880 24 61 200 17 174 2404 85 27 41 269 123 10 219 76 40 335 127 15
676 2880 17 51 161 16 196 2439 68 22 35 325 127 14 176 82 48 306 153 10
677 2880 24 49 185 23 198 2401 73 19 34 286 153 8 186 100 54 340 149 10
678 2880 21 51 200 28 168 2412 72 18 37 321 133 14 162 120 49 331 153 12
679 2880 19 55 198 27 219 2362 74 16 38 266 134 11 149 94 42 285 141 11
680 2880 24 44 175 21 215 2401 68 27 34 253 109 11 151 108 36 295 113 14
681 2880 17 49 233 14 174 2393 66 17 39 309 135 13 197 117 42 356 164 14
682 2880 23 46 229 24 200 2358 69 18 36 262 146 9 148 89 56 293 153 10
