# data/public-ice/critical/Critical-nucleus_analysis-trajectory/Critical-nucleus-analysis-growing nframes 801 last 801 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
714 2880 156 144 278 14 187 2101 300 265 30 654 616 4 123 254 274 651 613 4
715 2880 163 153 278 29 203 2054 316 285 25 650 612 4 141 266 282 689 637 5
716 2880 165 140 259 29 193 2094 305 282 22 710 646 6 187 257 283 727 657 6
717 2880 161 154 252 24 207 2082 315 280 26 689 627 6 160 237 281 678 628 5
718 2880 183 160 269 22 227 2019 343 314 26 708 648 5 131 267 277 675 649 3
719 2880 171 149 302 23 172 2063 320 280 36 699 635 6 116 286 282 684 658 3
720 2880 182 154 260 21 195 2068 336 305 25 673 635 4 114 285 274 673 647 3
721 2880 175 148 275 21 187 2074 323 290 28 650 624 3 131 283 286 700 662 4
722 2880 176 152 310 27 190 2025 328 292 34 691 627 5 125 293 280 698 646 5
723 2880 185 154 280 12 199 2050 339 304 32 716 652 6 160 295 285 740 664 7
724 2880 188 161 274 18 164 2075 349 313 33 739 675 6 126 320 291 737 685 5
725 2880 174 154 305 27 183 2037 328 298 29 711 671 4 121 326 288 735 695 4
726 2880 175 153 293 16 184 2059 328 292 30 703 665 4 121 298 288 707 669 4
727 2880 189 158 295 26 195 2017 347 301 39 697 661 4 146 273 293 712 662 5
728 2880 168 144 310 22 190 2046 312 280 29 689 639 5 128 305 294 727 689 4
729 2880 179 150 288 19 176 2068 329 293 31 676 638 4 116 293 284 693 643 5
730 2880 181 154 296 14 195 2040 335 300 29 691 651 3 103 288 285 676 650 3
731 2880 186 156 271 23 194 2050 342 305 35 702 678 3 111 269 291 671 645 3
732 2880 178 149 259 23 162 2109 327 290 35 706 694 2 119 309 295 723 697 3
733 2880 188 141 272 24 186 2069 329 299 29 690 664 3 116 297 295 708 682 3
734 2880 195 157 308 22 194 2004 352 312 36 738 712 3 124 311 301 736 710 3
735 2880 185 146 271 11 204 2063 331 307 21 697 659 4 106 324 283 713 675 4
736 2880 173 160 296 19 212 2020 333 295 35 707 681 3 90 327 276 693 667 3
737 2880 180 154 300 21 178 2047 334 292 38 722 684 4 127 307 294 728 690 4
738 2880 188 159 313 16 174 2030 347 308 34 719 681 4 121 312 286 719 681 4
739 2880 186 150 312 20 190 2022 336 309 27 700 674 3 112 301 295 708 682 3
740 2880 176 149 284 24 191 2056 325 293 27 689 663 3 120 298 297 715 689 3
741 2880 190 167 281 24 190 2028 357 310 36 716 667 4 124 307 301 732 686 4
742 2880 188 157 291 14 189 2041 345 305 39 701 655 4 118 312 297 727 681 4
743 2880 191 168 290 19 201 2011 359 323 35 746 686 5 150 313 296 759 713 4
744 2880 180 162 296 15 179 2048 342 302 33 707 641 6 116 347 278 741 681 5
745 2880 194 158 275 22 197 2034 352 314 36 699 659 4 111 334 280 725 669 5
746 2880 187 160 278 18 171 2066 347 310 34 715 638 6 132 308 295 735 691 4
747 2880 189 166 282 27 177 2039 355 315 35 767 666 5 145 331 292 768 680 4
748 2880 180 166 269 29 189 2047 346 314 28 722 672 5 129 316 291 736 680 5
749 2880 193 174 276 18 171 2048 367 320 39 725 695 3 130 317 290 737 695 4
750 2880 196 162 322 21 160 2019 358 310 41 741 687 5 132 320 298 750 708 4
751 2880 194 176 307 16 190 1997 370 320 38 754 664 8 119 322 295 736 694 4
752 2880 195 167 276 23 189 2030 362 327 33 728 674 4 111 311 299 721 691 3
753 2880 190 158 268 30 192 2042 348 326 19 745 683 6 122 321 294 737 699 4
754 2880 192 170 284 21 184 2029 362 324 39 750 726 3 133 303 309 745 707 4
755 2880 192 166 265 18 182 2057 358 322 33 719 669 5 133 286 304 723 673 5
756 2880 195 159 273 22 181 2050 354 322 31 708 684 3 117 315 296 728 690 4
757 2880 195 167 306 26 192 1994 362 320 37 739 697 4 123 318 298 739 721 2
758 2880 191 165 275 20 193 2036 356 314 35 755 701 5 116 323 295 734 710 3
759 2880 190 165 293 12 189 2031 355 313 33 743 679 5 137 331 298 766 742 3
