# data/public-ice/nucleation/Ice_nucleation_trajectory/Nucleation_trajectory-2 nframes 1001 last 1001 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
657 2880 609 226 333 42 243 1427 835 823 11 1398 1386 2 86 907 446 1439 1439 1
658 2880 588 234 321 37 216 1484 822 809 13 1386 1386 1 109 907 423 1439 1439 1
659 2880 593 232 321 49 235 1450 825 814 11 1359 1359 1 100 863 446 1409 1409 1
660 2880 566 219 313 47 281 1454 785 771 13 1369 1369 1 105 855 441 1401 1401 1
661 2880 447 189 312 62 313 1557 636 626 10 1231 1219 2 82 815 394 1291 1291 1
662 2880 550 218 321 48 256 1487 768 759 9 1346 1346 1 71 916 449 1436 1436 1
663 2880 684 243 316 41 220 1376 927 917 11 1452 1452 1 115 906 488 1509 1509 1
664 2880 719 261 338 52 226 1284 980 973 8 1561 1549 2 88 979 490 1557 1557 1
665 2880 743 284 333 24 221 1275 1027 1014 13 1538 1538 1 92 1001 524 1617 1617 1
666 2880 699 265 341 44 226 1305 964 954 10 1557 1557 1 103 959 552 1614 1614 1
667 2880 809 286 315 33 209 1228 1095 1082 12 1633 1633 1 104 1010 548 1662 1662 1
668 2880 852 303 334 31 162 1198 1155 1144 10 1708 1708 1 119 1015 570 1704 1704 1
669 2880 894 320 327 31 168 1140 1214 1207 8 1745 1733 2 65 1117 577 1759 1759 1
670 2880 951 339 329 30 144 1087 1290 1284 7 1789 1777 2 103 1123 621 1847 1847 1
671 2880 1002 350 329 24 131 1044 1352 1344 9 1864 1864 1 152 1075 660 1887 1887 1
672 2880 985 336 337 36 156 1030 1321 1309 9 1880 1856 3 111 1144 631 1886 1886 1
673 2880 972 339 347 19 154 1049 1311 1302 10 1874 1874 1 108 1152 646 1906 1906 1
674 2880 911 323 374 33 182 1057 1234 1226 9 1841 1841 1 126 1118 600 1844 1844 1
675 2880 924 335 328 41 170 1082 1259 1253 7 1774 1774 1 100 1131 590 1821 1821 1
676 2880 875 298 356 33 188 1130 1173 1162 12 1756 1756 1 117 1101 565 1783 1783 1
677 2880 889 313 360 34 157 1127 1202 1190 12 1749 1749 1 96 1151 528 1775 1775 1
678 2880 903 307 359 20 162 1129 1210 1204 7 1770 1770 1 103 1115 568 1786 1786 1
679 2880 934 300 345 24 183 1094 1234 1228 6 1788 1788 1 92 1158 548 1798 1798 1
680 2880 900 279 369 27 165 1140 1179 1167 12 1773 1773 1 105 1146 548 1799 1799 1
681 2880 991 320 299 18 120 1132 1311 1297 15 1829 1816 2 104 1175 578 1857 1857 1
682 2880 1012 324 304 23 129 1088 1336 1329 7 1830 1830 1 115 1181 563 1859 1859 1
683 2880 1054 347 327 20 123 1009 1401 1398 4 1867 1867 1 135 1154 597 1886 1886 1
684 2880 1057 357 309 11 109 1037 1414 1400 13 1889 1889 1 181 1161 607 1949 1949 1
685 2880 1059 356 325 19 130 991 1415 1405 9 1920 1920 1 145 1163 593 1901 1901 1
686 2880 1049 362 341 21 126 981 1411 1395 13 1945 1945 1 127 1192 625 1944 1944 1
687 2880 1083 360 332 18 113 974 1443 1433 10 1932 1932 1 150 1182 616 1948 1948 1
688 2880 1069 379 312 18 130 972 1448 1437 11 1946 1946 1 152 1192 617 1961 1949 2
689 2880 1100 379 322 15 109 955 1479 1469 10 1940 1928 2 170 1184 601 1955 1955 1
690 2880 1097 386 321 12 110 954 1483 1475 8 1967 1955 2 171 1180 611 1962 1950 2
691 2880 1073 375 326 16 120 970 1448 1440 8 1939 1939 1 156 1179 628 1963 1963 1
692 2880 1102 384 317 10 111 956 1486 1476 10 1966 1966 1 153 1208 627 1988 1988 1
693 2880 1044 356 360 17 106 997 1400 1389 12 1958 1946 2 149 1180 624 1953 1953 1
694 2880 1097 388 312 21 103 959 1485 1477 6 1949 1949 1 153 1175 616 1944 1944 1
695 2880 1105 385 313 9 101 967 1490 1482 9 1906 1906 1 146 1186 613 1945 1945 1
696 2880 1107 394 306 9 105 959 1501 1488 13 1930 1930 1 131 1181 622 1934 1934 1
697 2880 1106 370 314 8 111 971 1476 1465 11 1953 1953 1 152 1182 630 1964 1964 1
698 2880 1104 389 316 9 120 942 1493 1476 17 2005 2005 1 157 1171 668 1996 1996 1
699 2880 1112 404 336 20 96 912 1516 1498 18 1994 1994 1 152 1173 655 1980 1980 1
700 2880 1088 388 334 11 104 955 1476 1461 13 2004 2004 1 176 1148 688 2012 2012 1
701 2880 1063 383 343 20 90 981 1446 1429 16 2022 2022 1 156 1191 680 2027 2027 1
702 2880 1020 357 396 19 104 984 1377 1355 17 1988 1988 1 173 1182 664 2019 2019 1
703 2880 979 352 374 17 111 1047 1331 1320 10 1898 1884 2 142 1183 645 1970 1970 1
704 2880 1020 340 383 9 109 1019 1360 1343 14 1898 1898 1 123 1180 615 1918 1918 1
705 2880 1061 362 338 13 110 996 1423 1403 14 1910 1898 2 135 1159 622 1916 1916 1
706 2880 1084 360 333 19 108 976 1444 1435 9 1927 1927 1 158 1170 615 1943 1943 1
707 2880 1088 349 337 15 118 973 1437 1430 8 1938 1938 1 152 1166 636 1954 1954 1
708 2880 1093 351 319 17 123 977 1444 1439 6 1976 1976 1 117 1250 638 2005 2005 1
709 2880 1120 371 337 22 102 928 1491 1483 8 1971 1971 1 157 1206 656 2019 2019 1
710 2880 1094 353 349 16 103 965 1447 1436 9 1984 1984 1 152 1236 643 2031 2031 1
711 2880 1131 332 328 21 98 970 1463 1455 8 1987 1987 1 87 1302 647 2036 2036 1
712 2880 1166 355 291 19 94 955 1521 1514 8 2025 2025 1 116 1284 640 2040 2040 1
713 2880 1208 317 369 25 103 858 1525 1518 7 2098 2098 1 111 1365 631 2107 2107 1
714 2880 1137 321 354 23 152 893 1458 1449 9 2054 2054 1 93 1343 662 2098 2098 1
715 2880 1092 324 371 20 152 921 1416 1406 9 2021 2021 1 88 1337 652 2077 2077 1
716 2880 1102 325 306 29 158 960 1427 1419 8 1975 1963 2 90 1279 661 2030 2030 1
