library=Ih label=Ih n=288 classes=1
library=Ic label=Ic n=216 classes=1
library=XI label=Ih n=288 classes=1
library=0 label=0 n=216 classes=2
library=III label=III/IX n=324 classes=2
library=IV label=IV n=384 classes=2
library=V label=V n=504 classes=4
library=VI label=VI n=270 classes=2
library=VII label=VII/VIII n=432 classes=423
library=VIII label=VII/VIII n=512 classes=336
library=IX label=III/IX n=324 classes=2
library=XII label=XII/XIV n=648 classes=2
library=XIV label=XII/XIV n=192 classes=2
library=XVI label=sII n=136 classes=3
library=XVII label=XVII n=216 classes=1
library=sI label=sI n=368 classes=3
library=sII label=sII n=136 classes=3
library=sT label=sT n=920 classes=10
library=sIV label=sIV n=320 classes=5
library=iceA label=iceA n=324 classes=2
library=iceB label=iceB n=384 classes=1
library=FAU label=FAU n=192 classes=1
library=RHO label=RHO n=384 classes=1
library=SOD label=SOD n=324 classes=1
library=census method=wl hops=3 keys=792 ambiguous=0 perlabel=0:2,FAU:1,III/IX|iceA:2,IV:2,Ic:1,Ih:1,RHO:1,SOD:1,V:4,VI:2,VII/VIII:759,XII/XIV:2,XVII:1,iceB:1,sI:2,sII|sIV|sT:1,sII|sT:2,sIV|sT:3,sI|sIV|sT:1,sT:3
atlas=V noise=0.0 n=504 correct=1.000 unnamed=0.000 other=0.000
atlas=V noise=1.0 n=504 correct=0.004 unnamed=0.996 other=0.000
atlas=V noise=2.0 n=504 correct=0.000 unnamed=1.000 other=0.000
atlas=VI noise=0.0 n=270 correct=1.000 unnamed=0.000 other=0.000
atlas=VI noise=1.0 n=270 correct=0.000 unnamed=1.000 other=0.000
atlas=VI noise=2.0 n=270 correct=0.000 unnamed=1.000 other=0.000
atlas=VII noise=0.0 n=432 correct=1.000 unnamed=0.000 other=0.000
atlas=VII noise=1.0 n=432 correct=0.023 unnamed=0.977 other=0.000
atlas=VII noise=2.0 n=432 correct=0.002 unnamed=0.998 other=0.000
atlas=VIII noise=0.0 n=512 correct=1.000 unnamed=0.000 other=0.000
atlas=VIII noise=1.0 n=512 correct=0.008 unnamed=0.992 other=0.000
atlas=VIII noise=2.0 n=512 correct=0.004 unnamed=0.996 other=0.000
atlas=IX noise=0.0 n=324 correct=0.000 unnamed=0.000 other=1.000
atlas=IX noise=1.0 n=324 correct=0.000 unnamed=0.935 other=0.065
atlas=IX noise=2.0 n=324 correct=0.000 unnamed=0.997 other=0.003
atlas=XII noise=0.0 n=648 correct=1.000 unnamed=0.000 other=0.000
atlas=XII noise=1.0 n=648 correct=0.000 unnamed=0.998 other=0.002
atlas=XII noise=2.0 n=648 correct=0.000 unnamed=0.998 other=0.002
atlas=XIV noise=0.0 n=192 correct=1.000 unnamed=0.000 other=0.000
atlas=XIV noise=1.0 n=192 correct=0.005 unnamed=0.995 other=0.000
atlas=XIV noise=2.0 n=192 correct=0.000 unnamed=0.995 other=0.005
atlas=XVI noise=0.0 n=136 correct=0.000 unnamed=0.000 other=1.000
atlas=XVI noise=1.0 n=136 correct=0.000 unnamed=0.000 other=1.000
atlas=XVI noise=2.0 n=136 correct=0.000 unnamed=0.993 other=0.007
atlas=XVII noise=0.0 n=216 correct=1.000 unnamed=0.000 other=0.000
atlas=XVII noise=1.0 n=216 correct=1.000 unnamed=0.000 other=0.000
atlas=XVII noise=2.0 n=216 correct=0.014 unnamed=0.986 other=0.000
atlas=sI noise=0.0 n=368 correct=0.478 unnamed=0.000 other=0.522
atlas=sI noise=1.0 n=368 correct=0.478 unnamed=0.000 other=0.522
atlas=sI noise=2.0 n=368 correct=0.068 unnamed=0.851 other=0.082
atlas=sII noise=0.0 n=136 correct=0.000 unnamed=0.000 other=1.000
atlas=sII noise=1.0 n=136 correct=0.000 unnamed=0.000 other=1.000
atlas=sII noise=2.0 n=136 correct=0.000 unnamed=0.993 other=0.007
atlas=sT noise=0.0 n=920 correct=0.287 unnamed=0.000 other=0.713
atlas=sT noise=1.0 n=920 correct=0.287 unnamed=0.000 other=0.713
atlas=sT noise=2.0 n=920 correct=0.043 unnamed=0.877 other=0.079
atlas=sIV noise=0.0 n=320 correct=0.000 unnamed=0.000 other=1.000
atlas=sIV noise=1.0 n=320 correct=0.000 unnamed=0.000 other=1.000
atlas=sIV noise=2.0 n=320 correct=0.000 unnamed=0.978 other=0.022
atlas=iceA noise=0.0 n=324 correct=0.000 unnamed=0.000 other=1.000
atlas=iceA noise=1.0 n=324 correct=0.000 unnamed=0.358 other=0.642
atlas=iceA noise=2.0 n=324 correct=0.000 unnamed=1.000 other=0.000
atlas=iceB noise=0.0 n=384 correct=1.000 unnamed=0.000 other=0.000
atlas=iceB noise=1.0 n=384 correct=0.820 unnamed=0.180 other=0.000
