library=Ih label=Ih n=288 classes=1
library=Ic label=Ic n=216 classes=1
library=XI label=Ih n=288 classes=1
library=0 label=0 n=216 classes=2
library=III label=III/IX n=324 classes=2
library=IV label=IV n=384 classes=2
library=V label=V n=504 classes=4
library=VI label=VI n=270 classes=2
library=VII label=VII/VIII n=432 classes=422
library=VIII label=VII/VIII n=512 classes=319
library=IX label=III/IX n=324 classes=2
library=XII label=XII/XIV n=648 classes=2
library=XIV label=XII/XIV n=192 classes=2
library=XVI label=sII n=136 classes=3
library=XVII label=XVII n=216 classes=1
library=sI label=sI n=368 classes=3
library=sII label=sII n=136 classes=3
library=sT label=sT n=920 classes=10
library=sIV label=sIV n=320 classes=5
library=iceA label=iceA n=324 classes=2
library=iceB label=iceB n=384 classes=1
library=FAU label=FAU n=192 classes=1
library=RHO label=RHO n=384 classes=1
library=SOD label=SOD n=324 classes=1
library=census method=wl hops=3 keys=773 ambiguous=0 perlabel=0:2,FAU:1,III/IX|iceA:2,IV:2,Ic:1,Ih:1,RHO:1,SOD:1,V:4,VI:2,VII/VIII:740,XII/XIV:2,XVII:1,iceB:1,sI:2,sII|sIV|sT:1,sII|sT:2,sIV|sT:3,sI|sIV|sT:1,sT:3
library=fallback hops=2 keys=181 shared=8
atlas=sT noise=0.0 n=920 correct=0.287 shared=0.713 unnamed=0.000 other=0.000 depth=3:920
atlas=sT noise=1.0 n=920 correct=0.287 shared=0.713 unnamed=0.000 other=0.000 depth=3:920
atlas=sT noise=2.0 n=920 correct=0.043 shared=0.452 unnamed=0.500 other=0.004 depth=3:113,2:347
atlas=sIV noise=0.0 n=320 correct=0.000 shared=1.000 unnamed=0.000 other=0.000 depth=3:320
atlas=sIV noise=1.0 n=320 correct=0.000 shared=1.000 unnamed=0.000 other=0.000 depth=3:320
atlas=sIV noise=2.0 n=320 correct=0.000 shared=0.328 unnamed=0.672 other=0.000 depth=3:7,2:98
atlas=iceA noise=0.0 n=324 correct=0.000 shared=1.000 unnamed=0.000 other=0.000 depth=3:324
atlas=iceA noise=1.0 n=324 correct=0.000 shared=0.867 unnamed=0.127 other=0.006 depth=3:208,2:75
atlas=iceA noise=2.0 n=324 correct=0.000 shared=0.052 unnamed=0.830 other=0.117 depth=2:55
atlas=iceB noise=0.0 n=384 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:384
atlas=iceB noise=1.0 n=384 correct=0.820 shared=0.117 unnamed=0.000 other=0.062 depth=3:315,2:69
atlas=iceB noise=2.0 n=384 correct=0.000 shared=0.039 unnamed=0.560 other=0.401 depth=2:169
atlas=FAU noise=0.0 n=192 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:192
atlas=FAU noise=1.0 n=192 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:192
atlas=FAU noise=2.0 n=192 correct=0.016 shared=0.125 unnamed=0.583 other=0.276 depth=3:3,2:77
atlas=RHO noise=0.0 n=384 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:384
atlas=RHO noise=1.0 n=384 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:384
atlas=RHO noise=2.0 n=384 correct=0.013 shared=0.128 unnamed=0.529 other=0.331 depth=3:5,2:176
atlas=SOD noise=0.0 n=324 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:324
atlas=SOD noise=1.0 n=324 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:324
atlas=SOD noise=2.0 n=324 correct=0.194 shared=0.000 unnamed=0.315 other=0.491 depth=3:1,2:221
